CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2019;Teruel;Grado: Bellas Artes;Grado;Graduado;Hombres;9;0;0;0;4.80;91.12;12/09/2021
2019;Teruel;Grado: Bellas Artes;Grado;Graduado;Mujeres;21;0;0;0;4.35;93.92;12/09/2021
2019;Teruel;Grado: Bellas Artes;Grado;Traslado a otra Universidad;Mujeres;0;0;0;3;;;12/09/2021
2019;Teruel;Grado: Enfermería;Grado;Abandono Voluntario;Hombres;0;4;1;0;;;12/09/2021
2019;Teruel;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;14;0;0;;;12/09/2021
2019;Teruel;Grado: Enfermería;Grado;Graduado;Hombres;4;0;0;0;4.00;92.98;12/09/2021
2019;Teruel;Grado: Enfermería;Grado;Graduado;Mujeres;29;0;0;0;4.00;99.64;12/09/2021
2019;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Abandono Voluntario;Hombres;0;3;0;0;;;12/09/2021
2019;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;12/09/2021
2019;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Graduado;Hombres;9;0;0;0;5.00;85.46;12/09/2021
2019;Teruel;Grado: Ingeniería Electrónica y Automática;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;12/09/2021
2019;Teruel;Grado: Ingeniería Informática;Grado;Abandono Voluntario;Hombres;0;13;3;0;;;12/09/2021
2019;Teruel;Grado: Ingeniería Informática;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;12/09/2021
2019;Teruel;Grado: Ingeniería Informática;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;12/09/2021
2019;Teruel;Grado: Ingeniería Informática;Grado;Graduado;Hombres;11;0;0;0;5.50;82.71;12/09/2021
2019;Teruel;Grado: Ingeniería Informática;Grado;Graduado;Mujeres;2;0;0;0;4.00;100.00;12/09/2021
2019;Teruel;Grado: Ingeniería Informática;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;12/09/2021
2019;Teruel;Grado: Ingeniería Informática;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;3;3;0;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Mujeres;0;19;6;0;;;12/09/2021
2019;Teruel;Grado: Magisterio en Educación Infantil;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;12/09/2021
