CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2021;Escuela de Ingeniería y Arquitectura;2-Ingeniería biomédica;Máster;21;0;;14;0;0;0;0;2;2;333.00;0.00;2.07;100.00;68.42;98.61;;;16/04/2023
2021;Facultad de Empresa y Gestión Pública;2-Dirección y planificación del turismo;Máster;34;15;30;18;0;0;0;4;8;0;1059.00;168.00;1.87;97.31;81.87;86.55;;;16/04/2023
2021;Facultad de Ciencias;4-Movilidad para máster;Movilidad de entrada;11;0;;;0;0;;0;;0;251.00;0.00;;;;;;;16/04/2023
2021;Facultad de Filosofía y Letras;4-Movilidad para máster;Movilidad de entrada;7;0;;;0;0;;0;;0;83.00;0.00;;;;;;;16/04/2023
2021;Facultad de Medicina;4-Movilidad para máster;Movilidad de entrada;3;0;;;0;0;;0;;0;90.00;0.00;;;;;;;16/04/2023
2021;Facultad de Veterinaria;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;6.00;0.00;;;;;;;16/04/2023
2021;Facultad de Educación;4-Movilidad para máster;Movilidad de entrada;2;0;;;0;0;;0;;0;6.00;0.00;;;;;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;4-Movilidad para máster;Movilidad de entrada;62;0;;;0;0;;0;;0;1433.00;0.00;;;;;;;16/04/2023
2021;Escuela Politécnica Superior;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;30.00;0.00;;;;;;;16/04/2023
2021;Facultad de Empresa y Gestión Pública;4-Movilidad para máster;Movilidad de entrada;3;0;;;0;0;;0;;0;159.00;0.00;;;;;;;16/04/2023
2021;Facultad de Ciencias Sociales y Humanas de Teruel;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;15.00;0.00;;;;;;;16/04/2023
2021;Facultad de Ciencias;2-Materiales nanoestructurados para aplicaciones nanotecnológicas;Máster;13;11;25;12;0;0;0;0;1;0;688.00;0.00;1.08;100.00;97.97;98.09;;;16/04/2023
